Model,AUC-ROC,Average Precision,Tuned CV AUC,F1-Default,Precision-Default,Recall-Default,F1-Optimal Threshold,F1 at F1-Optimal,Cost-Min Threshold,Min Relative Cost,Precision-Selected,Recall-Selected,Review Volume-Selected,Missed Defaults-Selected,Review Volume-Cost-Min,Missed Defaults-Cost-Min
Logistic Regression,0.750669504886464,0.2333075225235634,,0.26226569502357666,0.1625918051797449,0.6777442094662638,0.65,0.30044040737682354,0.54,33288.0,0.22818020278039092,0.43967774420946626,9567,2782,17364,1899
XGBoost,0.7680001832488532,0.2575240768173209,0.7618163813330291,0.28769293441361515,0.18554413825315275,0.6400805639476335,0.68,0.32007495102631806,0.49,31748.0,0.2773022432113341,0.3784491440080564,6776,3086,17848,1715
LightGBM,0.7714725815862619,0.26082343347615466,0.7655223819431071,0.27949420960019644,0.17538003286770748,0.6878147029204431,0.66,0.32240597102297675,0.5,31557.0,0.25318928858751866,0.44370594159113796,8701,2762,19472,1550
LightGBM+Bureau,0.7746306604044293,0.268075020209669,0.7702340560142618,0.282609604212814,0.17830397637380024,0.6809667673716012,0.66,0.3250346791268161,0.53,31225.0,0.2549244159413651,0.44833836858006043,8732,2739,16709,1771
