policy_name,threshold_or_capacity,applicants_reviewed,review_rate,true_defaults_captured,default_capture_rate,false_reviews,false_review_rate,missed_defaults,precision,recall,f1,total_cost_units
Default threshold 0.50,0.5,18962,0.3083101637318505,3381,0.6809667673716012,15581,0.8216960236261998,1584,0.17830397637380024,0.6809667673716012,0.282609604212814,31421.0
F1-optimal threshold,0.66,8732,0.14197681413914767,2226,0.44833836858006043,6506,0.7450755840586349,2739,0.2549244159413651,0.44833836858006043,0.3250346791268161,33896.0
Cost-minimizing threshold,0.53,16709,0.2716778043347479,3194,0.6433031218529708,13515,0.8088455323478365,1771,0.1911544676521635,0.6433031218529708,0.29473101411829844,31225.0
Top 10% review capacity,10%,6151,0.10001138155862316,1765,0.3554884189325277,4386,0.7130547878393757,3200,0.2869452121606243,0.3554884189325277,0.3175602734796689,36386.0
Top 15% review capacity,15%,9226,0.1500089426532039,2295,0.4622356495468278,6931,0.7512464773466291,2670,0.24875352265337092,0.4622356495468278,0.3234444366147558,33631.0
Top 20% review capacity,20%,12301,0.20000650374778467,2708,0.5454179254783484,9593,0.7798552963173726,2257,0.22014470368262742,0.5454179254783484,0.3136800648673694,32163.0
