risk_tier,applicant_count,observed_default_rate,mean_predicted_risk,min_score,max_score,calibration_error
Low,24364,0.02163027417501231,0.1843039402517045,0.0071916852347105415,0.2999959151223903,0.16267366607669217
Medium,24378,0.0685864303880548,0.43222011667899624,0.3000017522613064,0.5899962080546406,0.36363368629094145
High,12761,0.2167541728704647,0.7205930204119456,0.5900127887160302,0.984412983140011,0.5038388475414809
